time,S,R,Total,iteration,time2
0,1195,3805,5000,1,0
1,220.506753442518,1402.19296785252,1622.69972129504,1,1
2,206.071379477416,1980.44181191922,2186.51319139664,1,2
3,215.478915562066,3024.24218322132,3239.72109878339,1,3
0,215.478915562066,3024.24218322132,3239.72109878339,2,3
1,39.7611346516154,1183.84719424258,1223.60832889419,2,4
2,37.1581895546003,1627.75450721728,1664.91269677188,2,5
3,38.8545287302979,2429.58958418463,2468.44411291492,2,6
0,38.8545287302979,2429.58958418463,2468.44411291492,3,6
1,7.169611494444,1047.31029798421,1054.47990947866,3,7
2,6.70025567208995,1439.57894174189,1446.27919741398,3,8
3,7.00613398380588,2138.41859770876,2145.42473169256,3,9
0,7.00613398380588,2138.41859770876,2145.42473169256,4,9
1,1.29280306796349,1016.26364759713,1017.5564506651,4,10
2,1.20816987220483,1404.13035714548,1405.33852701768,4,11
3,1.26332467010925,2084.39646028129,2085.6597849514,4,12
0,1.26332467010925,2084.39646028129,2085.6597849514,5,12
1,1,1085.70263715057,1085.93575452677,5,13
2,1,1508.96324611739,1509.18110387783,5,14
3,1,2240.48741123241,2240.71521523774,5,15
0,1,2240.48741123241,2240.71521523774,6,15
1,1,1270.15065803533,1270.19269449015,6,16
2,1,1775.33486187036,1775.37414669371,6,17
3,1,2636.91158740719,2636.95266577496,6,18
0,1,2636.91158740719,2636.95266577496,7,18
1,1,1616.05897474541,1616.06655489099,7,19
2,1,2270.69406984004,2270.70115380786,7,20
3,1,3373.84422929462,3373.85163668217,7,21
0,1,3373.84422929462,3373.85163668217,8,21
1,1,2221.33501639626,2221.33638327879,8,22
2,1,3136.25348079861,3136.25475820919,8,23
3,1,4661.42155425791,4661.42288998939,8,24
0,1,4661.42155425791,4661.42288998939,9,24
1,1,3278.1414527267,3278.14169920981,9,25
2,1,4648.9191855475,4648.91941589674,9,26
3,1,6911.76501460946,6911.76525547552,9,27
0,1,6911.76501460946,6911.76525547552,10,27
1,1,5164.31531096695,5164.31535541427,10,28
2,1,7353.75281293583,7353.75285447382,10,29
3,1,10936.1719316111,10936.1719750456,10,30
0,1,10936.1719316111,10936.1719750456,11,30
1,1,8639.39792927848,8639.39793729354,11,31
2,1,12348.3523946285,12348.352402119,11,32
3,1,18368.5550462444,18368.5550540769,11,33
0,1,18368.5550462444,18368.5550540769,12,33
1,1,15273.4855689429,15273.4855703882,12,34
2,1,21905.9320354293,21905.93203678,12,35
3,1,32593.3188146176,32593.31881603,12,36
0,1,32593.3188146176,32593.31881603,13,36
1,1,28408.2558020333,28408.255802294,13,37
2,1,40873.8388039173,40873.8388041608,13,38
3,1,60828.2077567726,60828.2077570273,13,39
0,1,60828.2077567726,60828.2077570273,14,39
1,1,55363.8097694191,55363.8097694661,14,40
2,1,79890.1306821193,79890.1306821632,14,41
3,1,118915.371716055,118915.371716101,14,42
0,1,118915.371716055,118915.371716101,15,42
1,1,112628.633635422,112628.633635431,15,43
2,1,162959.712997304,162959.712997312,15,44
3,1,242607.106755291,242607.106755299,15,45
0,1,242607.106755291,242607.106755299,16,45
1,1,238347.814710459,238347.814710461,16,46
2,1,345710.908877396,345710.908877398,16,47
3,1,514764.312064085,514764.312064086,16,48
0,1,514764.312064085,514764.312064086,17,48
1,1,523036.660316829,523036.660316829,17,49
2,1,760358.214737992,760358.214737992,17,50
3,1,1132347.89370192,1132347.89370192,17,51
0,1,1132347.89370192,1132347.89370192,18,51
1,1,1186702.98123221,1186702.98123221,18,52
2,1,1728753.58436842,1728753.58436842,18,53
3,1,2574872.11262557,2574872.11262557,18,54
0,1,2574872.11262557,2574872.11262557,19,54
1,1,2776345.63233429,2776345.63233429,19,55
2,1,4052253.94044692,4052253.94044692,19,56
3,1,6036361.59659895,6036361.59659895,19,57
0,1,6036361.59659895,6036361.59659895,20,57
1,1,6681182.92540026,6681182.92540026,20,58
2,1,9768806.0367576,9768806.0367576,20,59
3,1,14553638.6261183,14553638.6261183,20,60
0,1,14553638.6261183,14553638.6261183,21,60
1,1,16500418.81721,16500418.81721,21,61
2,1,24164983.1852569,24164983.1852569,21,62
3,1,36005094.351883,36005094.351883,21,63
0,1,36005094.351883,36005094.351883,22,63
1,1,41734067.7874802,41734067.7874802,22,64
2,1,61210920.35947,61210920.35947,22,65
3,1,91211567.3870707,91211567.3870707,22,66
0,1,91211567.3870707,91211567.3870707,23,66
1,1,107896241.874456,107896241.874456,23,67
2,1,158467094.124127,158467094.124127,23,68
3,1,236156613.728788,236156613.728788,23,69
0,1,236156613.728788,236156613.728788,24,69
1,1,284626123.28733,284626123.28733,24,70
2,1,418556569.290594,418556569.290594,24,71
3,1,623809552.270505,623809552.270505,24,72
0,1,623809552.270505,623809552.270505,25,72
1,1,764875620.084355,764875620.084355,25,73
2,1,1126089370.88348,1126089370.88348,25,74
3,1,1678435184.47761,1678435184.47761,25,75
0,1,1678435184.47761,1678435184.47761,26,75
1,1,2090769483.05172,2090769483.05172,26,76
2,1,3081416010.96801,3081416010.96801,26,77
3,1,4593176828.56159,4593176828.56159,26,78
0,1,4593176828.56159,4593176828.56159,27,78
1,1,5805298931.28996,5805298931.28996,27,79
2,1,8564335773.21615,8564335773.21615,27,80
3,1,12766890272.5216,12766890272.5216,27,81
0,1,12766890272.5216,12766890272.5216,28,81
1,1,16353021630.7973,16353021630.7973,28,82
2,1,24146700360.1732,24146700360.1732,28,83
3,1,35997764586.8874,35997764586.8874,28,84
0,1,35997764586.8874,35997764586.8874,29,84
1,1,46679100135.637,46679100135.637,29,85
2,1,68982899871.7438,68982899871.7438,29,86
3,1,102845044726.056,102845044726.056,29,87
0,1,102845044726.056,102845044726.056,30,87
1,1,134875973023.006,134875973023.006,30,88
2,1,199472870429.999,199472870429.999,30,89
3,1,297404814150.067,297404814150.067,30,90
0,1,297404814150.067,297404814150.067,31,90
1,1,394101748227.372,394101748227.372,31,91
2,1,583258749875.763,583258749875.763,31,92
3,1,869652721742.757,869652721742.757,31,93
0,1,869652721742.757,869652721742.757,32,93
1,1,1163461706307.88,1163461706307.88,32,94
2,1,1722995604727.59,1722995604727.59,32,95
3,1,2569139216399.15,2569139216399.15,32,96
0,1,2569139216399.15,2569139216399.15,33,96
1,1,3467413919897.45,3467413919897.45,33,97
2,1,5138004370413.36,5138004370413.36,33,98
3,1,7661527347891.85,7661527347891.85,33,99
0,1,7661527347891.85,7661527347891.85,34,99
1,1,10424088789880.1,10424088789880.1,34,100
2,1,15454782492939.2,15454782492939.2,34,101
3,1,23046206825455.5,23046206825455.5,34,102
0,1,23046206825455.5,23046206825455.5,35,102
1,1,31589630055567.9,31589630055567.9,35,103
2,1,46858279348011.7,46858279348011.7,35,104
3,1,69877519552131.1,69877519552131.1,35,105
0,1,69877519552131.1,69877519552131.1,36,105
1,1,96437356718749.2,96437356718749.2,36,106
2,1,143115469666660,143115469666660,36,107
3,1,213427894111239,213427894111239,36,108
0,1,213427894111239,213427894111239,37,108
1,1,296403294279103,296403294279103,37,109
2,1,440055760079540,440055760079540,37,110
3,1,656273235663068,656273235663068,37,111
0,1,656273235663068,656273235663068,38,111
1,1,916687054456562,916687054456562,38,112
2,1,1361489903628785,1361489903628785,38,113
3,1,2030498961784692,2030498961784692,38,114
0,1,2030498961784692,2030498961784692,39,114
1,1,2851293650033974,2851293650033974,39,115
2,1,4236335413604230,4236335413604230,39,116
3,1,6318138252882601,6318138252882601,39,117
0,1,6318138252882601,6318138252882601,40,117
1,1,8915496529993406,8915496529993406,40,118
2,1,13250629142574056,13250629142574056,40,119
3,1,19762636534457332,19762636534457332,40,120
